Course Title,Course Reference Number,TP Name,TP UEN,Programme Type,About This Course,What You'll Learn,TSC Category,TSC Title/Skill,Training Provider,WSQ/Non-WSQ,Appears in 11K list?
,TGS-2020500122,,,,,,Business and Organisational Management,Business Data Analysis,EVERYDAYEXCEL BUSINESS LAB PTE. LTD.,SSG-NON-WSQ,N
,TGS-2023037435,,,,,,Business and Organisational Management,Business Data Analysis,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,SSG-NON-WSQ,N
,TGS-2022013360,,,,,,Business and Organisational Management,Business Data Analysis,GLOBAL ICT TRAINING & CERTIFICATION PTE. LTD.,SSG-WSQ,N
,TGS-2022010679,,,,,,Business and Organisational Management,Business Data Analysis,LONDON SCHOOL OF BUSINESS & FINANCE PTE. LTD.,SSG-WSQ,N
,TGS-2021010370,,,,,,Business and Organisational Management,Business Data Analysis,ACADEMY OF DESIGN ARTS AND MEDIA PTE. LTD.,SSG-WSQ,N
,TGS-2022016585,,,,,,Business and Organisational Management,Business Data Analysis,SINGAPORE PRODUCTIVITY CENTRE PTE. LTD.,SSG-NON-WSQ,N
,TGS-2021004605,,,,,,Business and Organisational Management,Business Data Analysis,DIGI-SMART CONSULTING PTE. LTD.,SSG-WSQ,N
,TGS-2021006370,,,,,,Business and Organisational Management,Business Data Analysis,SUPPLY CHAIN & LOGISTICS ACADEMY PTE. LTD.,SSG-WSQ,N
,TGS-2022014175,,,,,,Business and Organisational Management,Business Data Analysis,VIBES GROUP PTE. LTD.,SSG-NON-WSQ,N
,TGS-2020513170,,,,,,Business and Organisational Management,Business Data Analysis,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020502915,,,,,,Business and Organisational Management,Business Data Analysis,Ngee Ann Polytechnic,SSG-NON-WSQ,N
,TGS-2023020863,,,,,,Business and Organisational Management,Business Data Analysis,Ngee Ann Polytechnic,SSG-NON-WSQ,N
,TGS-2023020864,,,,,,Business and Organisational Management,Business Data Analysis,Ngee Ann Polytechnic,SSG-NON-WSQ,N
,TGS-2018508695,,,,,,Business and Organisational Management,Business Data Analysis,Republic Polytechnic,SSG-NON-WSQ,N
,TGS-2018508698,,,,,,Business and Organisational Management,Business Data Analysis,Republic Polytechnic,SSG-NON-WSQ,N
,TGS-2021002057,,,,,,Business and Organisational Management,Business Data Analysis,Singapore Polytechnic,SSG-NON-WSQ,N
